"C01903V02345","Type of Worker","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"02","All manual employee grades","1969","1969","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1969","1969","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1969","1969","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"02","All manual employee grades","1970","1970","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1970","1970","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1970","1970","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"02","All manual employee grades","1971","1971","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1971","1971","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1971","1971","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"02","All manual employee grades","1972","1972","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1972","1972","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1972","1972","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"02","All manual employee grades","1973","1973","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1973","1973","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1973","1973","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"02","All manual employee grades","1974","1974","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1974","1974","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1974","1974","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"02","All manual employee grades","1975","1975","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1975","1975","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
