"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMPINDUS","CONSTR","THND_PER","A","2018",1178.354,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2019",1173.967,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2020",1173.959,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2021",1149.426,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2022",1231.692,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2018",343.675,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2019",357.85,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2020",348.3,"B"
"AUT","EMPINDUS","CONSTR","THND_PER","A","2021",323.875,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2022",367,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2018",323.375,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2019",340.35,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2020",320.675,"B"
"BEL","EMPINDUS","CONSTR","THND_PER","A","2021",311.875,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2022",311.425,
"CAN","EMPINDUS","CONSTR","THND_PER","A","2018",1435.8,
"CAN","EMPINDUS","CONSTR","THND_PER","A","2019",1473.925,
"CAN","EMPINDUS","CONSTR","THND_PER","A","2020",1407.667,
"CAN","EMPINDUS","CONSTR","THND_PER","A","2021",1451.492,
"CAN","EMPINDUS","CONSTR","THND_PER","A","2022",1552.892,
"CZE","EMPINDUS","CONSTR","THND_PER","A","2018",383.975,
"CZE","EMPINDUS","CONSTR","THND_PER","A","2019",376.875,
"CZE","EMPINDUS","CONSTR","THND_PER","A","2020",395.5,
"CZE","EMPINDUS","CONSTR","THND_PER","A","2021",413.4,"B"
"CZE","EMPINDUS","CONSTR","THND_PER","A","2022",406.25,
"DNK","EMPINDUS","CONSTR","THND_PER","A","2018",179.05,
"DNK","EMPINDUS","CONSTR","THND_PER","A","2019",177.425,
"DNK","EMPINDUS","CONSTR","THND_PER","A","2020",178.15,
"DNK","EMPINDUS","CONSTR","THND_PER","A","2021",192.725,
"DNK","EMPINDUS","CONSTR","THND_PER","A","2022",194.35,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2018",197.775,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2019",192.6,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2020",188.075,"B"
"FIN","EMPINDUS","CONSTR","THND_PER","A","2021",189.1,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2022",185.025,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2018",1790.6,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2019",1806.1,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2020",1797.35,"B"
"FRA","EMPINDUS","CONSTR","THND_PER","A","2021",1777.475,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2022",1838.625,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2018",2821.75,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2019",2859.6,"B"
"DEU","EMPINDUS","CONSTR","THND_PER","A","2021",2445.6,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2022",2577.275,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2018",151.575,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2019",147.6,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2020",140.75,"B"
"GRC","EMPINDUS","CONSTR","THND_PER","A","2021",141.75,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2022",148.6,
"HUN","EMPINDUS","CONSTR","THND_PER","A","2018",333.3,
"HUN","EMPINDUS","CONSTR","THND_PER","A","2019",345.8,
"HUN","EMPINDUS","CONSTR","THND_PER","A","2020",362.6,"B"
"HUN","EMPINDUS","CONSTR","THND_PER","A","2021",375.975,
"HUN","EMPINDUS","CONSTR","THND_PER","A","2022",383.725,
"ISL","EMPINDUS","CONSTR","THND_PER","A","2018",12.35,
"ISL","EMPINDUS","CONSTR","THND_PER","A","2019",13.275,
"ISL","EMPINDUS","CONSTR","THND_PER","A","2020",13.125,"B"
"ISL","EMPINDUS","CONSTR","THND_PER","A","2021",15.675,
"ISL","EMPINDUS","CONSTR","THND_PER","A","2022",16.275,
"IRL","EMPINDUS","CONSTR","THND_PER","A","2018",143.375,
"IRL","EMPINDUS","CONSTR","THND_PER","A","2019",146.975,
"IRL","EMPINDUS","CONSTR","THND_PER","A","2020",137.175,"B"
"IRL","EMPINDUS","CONSTR","THND_PER","A","2021",138.6,
"IRL","EMPINDUS","CONSTR","THND_PER","A","2022",165.2,
"ITA","EMPINDUS","CONSTR","THND_PER","A","2018",1406.8,
"ITA","EMPINDUS","CONSTR","THND_PER","A","2019",1339.375,
"ITA","EMPINDUS","CONSTR","THND_PER","A","2020",1357.95,"B"
"ITA","EMPINDUS","CONSTR","THND_PER","A","2021",1430.8,
"ITA","EMPINDUS","CONSTR","THND_PER","A","2022",1550.675,
"JPN","EMPINDUS","CONSTR","THND_PER","A","2018",5044.167,
"JPN","EMPINDUS","CONSTR","THND_PER","A","2019",5002.5,
"JPN","EMPINDUS","CONSTR","THND_PER","A","2020",4940.833,
"JPN","EMPINDUS","CONSTR","THND_PER","A","2021",4849.167,
"JPN","EMPINDUS","CONSTR","THND_PER","A","2022",4788.333,
"KOR","EMPINDUS","CONSTR","THND_PER","A","2018",2034.208,
"KOR","EMPINDUS","CONSTR","THND_PER","A","2019",2019.583,
"KOR","EMPINDUS","CONSTR","THND_PER","A","2020",2016,
"KOR","EMPINDUS","CONSTR","THND_PER","A","2021",2090.392,
"KOR","EMPINDUS","CONSTR","THND_PER","A","2022",2122.983,
"LUX","EMPINDUS","CONSTR","THND_PER","A","2018",15.825,
"LUX","EMPINDUS","CONSTR","THND_PER","A","2019",16.35,
"LUX","EMPINDUS","CONSTR","THND_PER","A","2020",15.7,"B"
"LUX","EMPINDUS","CONSTR","THND_PER","A","2021",15.75,
"LUX","EMPINDUS","CONSTR","THND_PER","A","2022",14.7,
"NLD","EMPINDUS","CONSTR","THND_PER","A","2018",402.75,
"NLD","EMPINDUS","CONSTR","THND_PER","A","2019",412.55,
"NLD","EMPINDUS","CONSTR","THND_PER","A","2020",406.95,"B"
"NLD","EMPINDUS","CONSTR","THND_PER","A","2021",396.65,
"NLD","EMPINDUS","CONSTR","THND_PER","A","2022",414.75,
"NZL","EMPINDUS","CONSTR","THND_PER","A","2018",248.375,
"NZL","EMPINDUS","CONSTR","THND_PER","A","2019",250.15,
"NZL","EMPINDUS","CONSTR","THND_PER","A","2020",271.225,
"NZL","EMPINDUS","CONSTR","THND_PER","A","2021",284.4,
"NZL","EMPINDUS","CONSTR","THND_PER","A","2022",301.725,
"NOR","EMPINDUS","CONSTR","THND_PER","A","2018",220.725,
"NOR","EMPINDUS","CONSTR","THND_PER","A","2019",226.925,
"NOR","EMPINDUS","CONSTR","THND_PER","A","2020",225.475,"B"
"NOR","EMPINDUS","CONSTR","THND_PER","A","2021",231.15,
"NOR","EMPINDUS","CONSTR","THND_PER","A","2022",236.5,
"POL","EMPINDUS","CONSTR","THND_PER","A","2018",1243.85,
"POL","EMPINDUS","CONSTR","THND_PER","A","2019",1305.55,
"POL","EMPINDUS","CONSTR","THND_PER","A","2020",1329.85,"B"
"POL","EMPINDUS","CONSTR","THND_PER","A","2021",1332.575,
"POL","EMPINDUS","CONSTR","THND_PER","A","2022",1315.45,
"PRT","EMPINDUS","CONSTR","THND_PER","A","2018",306.975,
"PRT","EMPINDUS","CONSTR","THND_PER","A","2019",304.55,
"PRT","EMPINDUS","CONSTR","THND_PER","A","2020",297.1,"B"
"PRT","EMPINDUS","CONSTR","THND_PER","A","2021",305.425,
"PRT","EMPINDUS","CONSTR","THND_PER","A","2022",316.125,
"SVK","EMPINDUS","CONSTR","THND_PER","A","2018",240.45,
"SVK","EMPINDUS","CONSTR","THND_PER","A","2019",235.9,
"SVK","EMPINDUS","CONSTR","THND_PER","A","2020",229.125,"B"
"SVK","EMPINDUS","CONSTR","THND_PER","A","2021",239.925,
"SVK","EMPINDUS","CONSTR","THND_PER","A","2022",254.875,
"ESP","EMPINDUS","CONSTR","THND_PER","A","2018",1221.8,
"ESP","EMPINDUS","CONSTR","THND_PER","A","2019",1277.9,
"ESP","EMPINDUS","CONSTR","THND_PER","A","2020",1244.075,
"ESP","EMPINDUS","CONSTR","THND_PER","A","2021",1291.525,
"ESP","EMPINDUS","CONSTR","THND_PER","A","2022",1321.025,
"SWE","EMPINDUS","CONSTR","THND_PER","A","2018",348.575,"B"
"SWE","EMPINDUS","CONSTR","THND_PER","A","2019",360.5,
"SWE","EMPINDUS","CONSTR","THND_PER","A","2020",352.675,"B"
"SWE","EMPINDUS","CONSTR","THND_PER","A","2021",349.275,
"SWE","EMPINDUS","CONSTR","THND_PER","A","2022",336.375,
"CHE","EMPINDUS","CONSTR","THND_PER","A","2018",311.625,
"CHE","EMPINDUS","CONSTR","THND_PER","A","2019",301.9,
"CHE","EMPINDUS","CONSTR","THND_PER","A","2020",304.775,"B"
"CHE","EMPINDUS","CONSTR","THND_PER","A","2021",271.3,
"CHE","EMPINDUS","CONSTR","THND_PER","A","2022",243.675,
"TUR","EMPINDUS","CONSTR","THND_PER","A","2018",1991.25,
"TUR","EMPINDUS","CONSTR","THND_PER","A","2019",1549.05,
"TUR","EMPINDUS","CONSTR","THND_PER","A","2020",1536.275,
"TUR","EMPINDUS","CONSTR","THND_PER","A","2021",1770,
"TUR","EMPINDUS","CONSTR","THND_PER","A","2022",1846,
"GBR","EMPINDUS","CONSTR","THND_PER","A","2018",2352.75,
"GBR","EMPINDUS","CONSTR","THND_PER","A","2019",2359.5,
"GBR","EMPINDUS","CONSTR","THND_PER","A","2020",2178.25,
"GBR","EMPINDUS","CONSTR","THND_PER","A","2021",2142.25,
"GBR","EMPINDUS","CONSTR","THND_PER","A","2022",2179.25,
"USA","EMPINDUS","CONSTR","THND_PER","A","2018",11181.33,
"USA","EMPINDUS","CONSTR","THND_PER","A","2019",11372.75,
"USA","EMPINDUS","CONSTR","THND_PER","A","2020",10786.42,
"USA","EMPINDUS","CONSTR","THND_PER","A","2021",11271.33,
"USA","EMPINDUS","CONSTR","THND_PER","A","2022",11790,
"CHL","EMPINDUS","CONSTR","THND_PER","A","2018",745.0276,
"CHL","EMPINDUS","CONSTR","THND_PER","A","2019",771.5601,
"CHL","EMPINDUS","CONSTR","THND_PER","A","2020",614.6608,
"CHL","EMPINDUS","CONSTR","THND_PER","A","2021",749.7949,
"CHL","EMPINDUS","CONSTR","THND_PER","A","2022",769.8476,
"EST","EMPINDUS","CONSTR","THND_PER","A","2018",58.3,
"EST","EMPINDUS","CONSTR","THND_PER","A","2019",58.375,
"EST","EMPINDUS","CONSTR","THND_PER","A","2020",60.275,"B"
"EST","EMPINDUS","CONSTR","THND_PER","A","2021",57.15,
"EST","EMPINDUS","CONSTR","THND_PER","A","2022",58.325,
"ISR","EMPINDUS","CONSTR","THND_PER","A","2018",199.9917,
"ISR","EMPINDUS","CONSTR","THND_PER","A","2019",205.85,
"ISR","EMPINDUS","CONSTR","THND_PER","A","2020",198.0833,
"ISR","EMPINDUS","CONSTR","THND_PER","A","2021",194.8833,
"ISR","EMPINDUS","CONSTR","THND_PER","A","2022",211.7833,
"SVN","EMPINDUS","CONSTR","THND_PER","A","2018",56.15,
"SVN","EMPINDUS","CONSTR","THND_PER","A","2019",56.875,
"SVN","EMPINDUS","CONSTR","THND_PER","A","2020",59.525,"B"
"SVN","EMPINDUS","CONSTR","THND_PER","A","2021",52.5,
"SVN","EMPINDUS","CONSTR","THND_PER","A","2022",55.675,
"ZAF","EMPINDUS","CONSTR","THND_PER","A","2018",1472.331,
"ZAF","EMPINDUS","CONSTR","THND_PER","A","2019",1347.656,
"ZAF","EMPINDUS","CONSTR","THND_PER","A","2020",1163.723,
"ZAF","EMPINDUS","CONSTR","THND_PER","A","2021",1147.809,
"OECD","EMPINDUS","CONSTR","THND_PER","A","2018",45072.35,"B"
"OECD","EMPINDUS","CONSTR","THND_PER","A","2019",44951.97,"B"
"OECD","EMPINDUS","CONSTR","THND_PER","A","2020",42772.2,"E"
"OECD","EMPINDUS","CONSTR","THND_PER","A","2021",44434.9,"B"
"OECD","EMPINDUS","CONSTR","THND_PER","A","2022",45861.61,
"G-7","EMPINDUS","CONSTR","THND_PER","A","2018",26033.2,
"G-7","EMPINDUS","CONSTR","THND_PER","A","2019",26213.75,"B"
"G-7","EMPINDUS","CONSTR","THND_PER","A","2020",24797.97,"E"
"G-7","EMPINDUS","CONSTR","THND_PER","A","2021",25368.12,
"G-7","EMPINDUS","CONSTR","THND_PER","A","2022",26277.05,
"EA19","EMPINDUS","CONSTR","THND_PER","A","2018",9707.2,
"EA19","EMPINDUS","CONSTR","THND_PER","A","2019",9797.65,
"EA19","EMPINDUS","CONSTR","THND_PER","A","2020",9176.25,"B"
"EA19","EMPINDUS","CONSTR","THND_PER","A","2021",9478.35,
"EA19","EMPINDUS","CONSTR","THND_PER","A","2022",9947.625,
"LVA","EMPINDUS","CONSTR","THND_PER","A","2018",74.55,
"LVA","EMPINDUS","CONSTR","THND_PER","A","2019",81.1,
"LVA","EMPINDUS","CONSTR","THND_PER","A","2020",76.45,"B"
"LVA","EMPINDUS","CONSTR","THND_PER","A","2021",72.3,
"LVA","EMPINDUS","CONSTR","THND_PER","A","2022",72.15,
"MEX","EMPINDUS","CONSTR","THND_PER","A","2018",4383.257,
"MEX","EMPINDUS","CONSTR","THND_PER","A","2019",4288.748,
"MEX","EMPINDUS","CONSTR","THND_PER","A","2020",3919.813,"B"
"MEX","EMPINDUS","CONSTR","THND_PER","A","2021",4389.786,
"MEX","EMPINDUS","CONSTR","THND_PER","A","2022",4484.759,
"LTU","EMPINDUS","CONSTR","THND_PER","A","2018",102.575,
"LTU","EMPINDUS","CONSTR","THND_PER","A","2019",105.225,
"LTU","EMPINDUS","CONSTR","THND_PER","A","2020",99.675,"B"
"LTU","EMPINDUS","CONSTR","THND_PER","A","2021",101.525,
"LTU","EMPINDUS","CONSTR","THND_PER","A","2022",111.175,
"COL","EMPINDUS","CONSTR","THND_PER","A","2018",1439.551,
"COL","EMPINDUS","CONSTR","THND_PER","A","2019",1487.277,
"COL","EMPINDUS","CONSTR","THND_PER","A","2020",1331.031,
"COL","EMPINDUS","CONSTR","THND_PER","A","2021",1489.248,
"COL","EMPINDUS","CONSTR","THND_PER","A","2022",1546.654,
"EU27_2020","EMPINDUS","CONSTR","THND_PER","A","2018",13234.13,
"EU27_2020","EMPINDUS","CONSTR","THND_PER","A","2019",13441.55,
"EU27_2020","EMPINDUS","CONSTR","THND_PER","A","2020",12893.47,"B"
"EU27_2020","EMPINDUS","CONSTR","THND_PER","A","2021",13173.92,
"EU27_2020","EMPINDUS","CONSTR","THND_PER","A","2022",13622.88,
"RUS","EMPINDUS","CONSTR","THND_PER","A","2018",5129.192,
"RUS","EMPINDUS","CONSTR","THND_PER","A","2019",4965.894,
"RUS","EMPINDUS","CONSTR","THND_PER","A","2020",4715.06,
"RUS","EMPINDUS","CONSTR","THND_PER","A","2021",4906.587,
"CRI","EMPINDUS","CONSTR","THND_PER","A","2018",146.5352,
"CRI","EMPINDUS","CONSTR","THND_PER","A","2019",149.5847,
"CRI","EMPINDUS","CONSTR","THND_PER","A","2020",127.186,
"CRI","EMPINDUS","CONSTR","THND_PER","A","2021",128.829,
"CRI","EMPINDUS","CONSTR","THND_PER","A","2022",140.4693,
