indic_bt,nace_r2,s_adj,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
EMPL,F,NSA,I10,AL	: 	: 	: 	: 	: 	: 	123.0 	115.8 	103.9 	88.6 	94.2 	91.2 	100.0 	103.7 	97.3 	74.1 	76.7 	76.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,AT	: 	: 	: 	: 	: 	103.3 p	101.0 	100.9 	102.4 	103.9 	104.0 	102.2 	100.0 	101.0 	98.2 	99.1 	97.3 	96.7 	97.8 	98.5 	94.5 	97.9 	103.3 	104.8 	109.5 	101.1 	102.1 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,BE	: 	: 	: 	: 	: 	: 	101.9 p	100.2 	100.8 	102.3 	103.3 	102.4 	100.0 	98.7 	98.8 	95.6 	91.5 	87.9 	86.2 	88.2 	83.4 	83.4 	63.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,BG	: 	: 	: 	: 	: 	70.3 p	71.4 p	74.9 p	81.9 	78.7 	81.9 	88.7 	100.0 	129.0 	144.0 	111.6 	100.7 	87.4 	72.7 	62.9 	57.4 	57.1 	59.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,CH	: 	: 	: 	: 	: 	103.5 	103.9 	105.1 	105.0 	104.1 	102.6 	100.7 	100.0 	98.0 	98.0 	96.8 	93.5 	91.6 	90.3 	90.3 	90.2 	90.1 	89.0 	88.0 	89.1 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,CY	: 	: 	: 	: 	: 	: 	62.0 	58.6 	58.6 	64.7 	81.0 	94.2 	100.0 	104.9 	109.0 	97.4 	89.8 	85.4 	80.5 	76.0 	69.2 	66.1 	63.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,CZ	: 	: 	: 	: 	: 	: 	90.5 	92.4 	90.7 	92.3 	97.0 	97.7 	100.0 	99.1 	101.3 	100.4 	99.2 	97.2 	96.7 	94.8 	93.9 	97.5 	98.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,DE	: 	: 	: 	: 	: 	109.7 p	108.1 	107.0 	107.2 	105.7 	104.6 	103.5 	100.0 	98.0 	96.8 	96.1 	94.6 	94.4 	101.0 s	107.2 s	115.9 s	125.7 s	138.2 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,DK	: 	: 	: 	: 	: 	112.9 p	109.2 	105.4 	102.1 	99.2 	100.7 	100.6 	100.0 	110.2 	124.6 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,EA19	: 	: 	: 	: 	: 	86.3 s	84.8 	84.8 	85.7 	87.4 	91.7 	96.2 	100.0 	105.0 	114.0 	115.6 	110.4 	107.0 	105.1 	103.4 	102.3 	101.9 	100.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,EE	: 	: 	: 	: 	: 	122.0 	115.1 	116.5 	109.3 	112.6 	112.3 	100.2 	100.0 	122.4 	145.7 	145.0 	124.4 	108.2 	99.6 	93.1 	89.8 	83.6 	86.4 	87.1 	91.9 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,EL	: 	: 	: 	: 	: 	85.6 	81.7 	68.9 	91.3 	77.8 	77.6 	82.8 	100.0 	110.9 	112.3 	108.0 	105.2 	106.4 	99.5 	98.2 	90.6 	87.1 	85.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,ES	: 	: 	: 	: 	: 	68.3 	65.0 	65.0 	60.2 	62.4 	70.3 	85.0 	100.0 	114.5 	149.0 	163.5 	154.1 	142.9 	136.6 	127.4 	120.0 	113.7 	104.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,EU28	: 	: 	: 	: 	: 	91.1 s	89.4 	88.9 	89.3 	90.6 	94.5 	97.5 	100.0 	105.7 	113.3 	113.3 	108.5 	104.6 	101.7 	100.6 	100.5 	101.4 	100.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,FI	: 	: 	: 	: 	: 	107.6 	102.6 	97.7 	98.1 	102.4 	102.1 	102.4 	100.0 	101.9 	108.0 	102.6 	96.3 	93.8 	86.9 	88.4 	85.8 	84.1 	86.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,FR	: 	: 	: 	: 	: 	90.4 	90.2 	91.3 	94.3 	96.6 	98.5 	99.3 	100.0 	101.9 	104.0 	101.6 	97.3 	93.0 	90.5 	88.7 	88.4 	87.7 	85.1 	81.7 	80.0 	80.0 	81.8 	84.5 	84.5 	86.1 	91.2 	94.4 	95.2 
EMPL,F,NSA,I10,HR	: 	: 	: 	: 	: 	75.0 p	77.9 	75.4 	79.1 	81.1 	85.4 	92.5 	100.0 	115.3 	118.9 	110.7 	103.7 	94.1 	90.5 	86.4 	79.2 	72.5 	71.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,HU	: 	: 	: 	: 	: 	102.4 p	98.8 p	95.4 p	94.3 	92.5 	95.6 	98.2 	100.0 	99.8 	108.5 	114.4 	123.0 	115.5 	112.5 	107.0 	105.0 	101.9 	100.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,IE	: 	: 	: 	: 	: 	: 	129.4 	113.9 	98.4 	89.5 	91.6 	99.1 	98.0 	128.3 	207.6 	227.2 	218.7 	198.0 	171.9 	156.1 	149.9 	147.1 	136.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,IS	: 	: 	: 	: 	: 	157.7 p	134.8 p	115.2 p	104.8 p	97.0 p	90.6 p	92.1 p	100.0 p	119.6 p	199.2 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,IT	: 	: 	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,LT	: 	: 	: 	: 	: 	112.7 	110.7 	116.2 	110.8 	105.2 	103.8 	103.8 	100.0 	121.6 	154.7 	143.1 	120.3 	109.1 	104.8 	100.6 	92.6 	80.7 	82.1 	96.5 	103.6 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,LU	: 	: 	: 	: 	: 	98.2 	95.2 	93.9 	94.3 	94.1 	96.8 	98.6 	100.0 	100.5 	102.1 	101.2 	101.0 	99.8 	99.0 	98.5 	97.3 	94.5 	91.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,LV	: 	: 	: 	: 	: 	: 	120.6 	129.8 	132.6 	132.5 	120.2 	108.9 	100.0 	123.2 	194.3 	196.0 	152.9 	131.4 	114.0 	100.1 	94.1 	91.5 	87.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,ME	: 	: 	: 	: 	: 	133.5 	126.0 	115.9 	112.4 	105.5 	104.2 	100.3 	100.0 	126.5 e	111.7 e	84.1 e	86.7 e	95.7 e	87.1 e	82.5 e	78.0 e	85.6 e	85.4 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,MK	: 	: 	: 	: 	: 	168.2 	173.3 	161.5 	146.4 	136.4 	106.5 	110.3 	100.0 	98.5 	99.2 	108.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,MT	: 	: 	: 	: 	: 	94.1 p	94.7 p	93.8 	85.2 	84.6 	91.6 	95.1 	100.0 	108.1 	116.3 	119.3 	113.4 	113.1 	123.4 	132.8 	138.0 	127.9 	120.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,NL	: 	: 	: 	: 	: 	: c	79.3 p	79.6 	81.1 	86.1 	94.3 	98.1 	100.0 	103.6 	106.2 	105.6 	104.2 	104.1 	105.2 	108.6 	113.8 	115.2 	113.0 	109.9 	106.5 	104.2 	101.5 	100.2 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,NO	: 	: 	: 	: 	: 	127.3 p	121.8 p	118.1 	115.3 	112.7 	109.5 	103.7 	100.0 	101.5 	106.0 	103.1 	94.4 	86.9 	82.9 	80.9 	75.6 	73.6 	71.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,PL	: 	: 	: 	: 	: 	90.1 	88.1 	89.0 	94.3 	101.8 	109.6 	107.6 	100.0 	98.7 	95.0 	91.1 	84.8 	80.6 	74.3 	82.9 	97.8 	109.9 	119.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,PT	: 	: 	: 	: 	: 	55.5 	54.3 	56.6 	59.1 	64.6 	76.7 	89.3 	100.0 	110.6 	122.9 	128.6 	134.6 	142.8 	133.2 	136.9 	147.9 	148.0 	143.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,RO	: 	: 	: 	: 	: 	112.0 	113.1 	107.7 	101.9 	104.2 	106.9 	99.4 	100.0 	117.4 	138.9 p	129.3 p	114.7 p	113.5 p	102.4 p	106.5 p	102.3 p	108.1 p	105.4 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EMPL,F,NSA,I10,RS	: 	: 	: 	: 	: 	82.8 p	81.8 	81.8 	82.5 e	86.1 e	91.1 e	95.8 e	100.0 e	110.8 e	128.0 e	126.5 e	126.0 e	125.8 e	123.1 e	122.6 e	123.4 e	124.2 e	123.8 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
