"STATISTIC","Statistic Label","TLIST(A1)","Year","C01409V03262","Type of Material","UNIT","VALUE"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","-","Materials","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","601","Stone, sand and gravel","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","60161","Sand and gravel","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","60162","Stone","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","611","Cement","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","621","Ready mixed mortar and concrete","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","631","Concrete blocks and bricks","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","64","Other concrete products including precast","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","64261","Other concrete products (excluding precast concrete)","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","64262","Precast concrete","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","65","Structural steel and reinforcing metal","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","651","Structural steel","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","65161","Other structural steel","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","65162","Structural steel fabricated metal","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","652","Reinforcing metal","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","653","Other steel products","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","661","Rough timber (including plain sawn)","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","66161","Rough timber (softwood)","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","66162","Rough timber (hardwood)","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","671","Machined, treated engineered timber","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","67161","Other treated timber","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","67162","Wooden windows and doors","Base 2015=100","100"
