indic_bt,nace_r2,s_adj,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
PROD,B-D_F,CA,I15,AT	128.4 	120.7 	109.3 	115.7 	114.2 	108.4 	102.2 	100.0 	98.7 	98.4 	98.0 	97.0 	92.0 	88.1 	97.2 	96.3 	91.4 	85.1 	81.5 	77.0 	73.9 	73.4 	71.7 	66.9 	63.7 	58.1 	54.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PROD,B-D_F,CA,I15,BE	121.0 s	121.4 s	106.2 s	111.4 s	107.4 s	106.1 s	103.7 s	100.0 s	101.5 s	100.6 s	101.3 s	102.9 s	98.0 s	92.1 s	101.5 s	98.4 s	92.7 s	87.7 s	85.2 s	80.8 s	80.0 s	79.8 s	77.7 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PROD,B-D_F,CA,I15,BG	119.5 s	107.5 s	98.6 s	105.1 s	104.0 s	103.5 s	99.3 s	100.0 s	96.1 s	93.6 s	94.0 s	94.6 s	92.3 s	93.8 s	113.7 s	110.6 s	98.3 s	90.4 s	82.0 s	71.5 s	63.7 s	61.0 s	59.0 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PROD,B-D_F,CA,I15,CH	124.6 	119.2 	110.5 	114.2 	110.4 	105.3 	100.1 	100.0 	102.1 	100.4 	99.3 	98.1 	95.9 	90.5 	96.0 	96.5 	89.5 	83.9 	83.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PROD,B-D_F,CA,I15,CY	148.6 s	150.5 s	142.3 s	153.1 s	142.9 s	128.9 s	112.5 s	100.0 s	96.7 s	105.0 s	123.8 s	144.6 s	156.1 s	163.5 s	181.2 s	174.8 s	165.4 s	162.4 s	159.9 s	156.1 s	152.2 s	148.5 s	142.0 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PROD,B-D_F,CA,I15,CZ	113.7 s	110.9 s	104.6 s	112.5 s	112.5 s	108.4 s	101.9 s	100.0 s	95.4 s	90.9 s	91.6 s	93.3 s	89.5 s	84.7 s	95.3 s	97.3 s	88.8 s	82.5 s	79.8 s	73.0 s	69.9 s	68.6 s	63.8 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PROD,B-D_F,CA,I15,DE	97.8 	98.4 	95.0 	102.9 	105.3 	104.4 	101.2 	99.7 	98.8 	97.3 	97.2 	97.5 	91.0 	82.5 	97.6 	97.6 	92.2 	87.3 	84.7 	82.7 	82.6 	83.6 	83.8 	80.0 	79.2 	76.9 	75.2 	75.6 	75.0 	72.4 	77.4 	78.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PROD,B-D_F,CA,I15,DK	131.2 s	116.2 s	107.6 s	112.2 s	109.4 s	106.7 s	103.9 s	100.0 s	99.1 s	97.9 s	98.0 s	97.8 s	96.4 s	96.2 s	111.4 s	113.9 s	116.4 s	111.9 s	108.1 s	109.0 s	109.5 s	108.4 s	105.2 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PROD,B-D_F,CA,I15,EA19	108.5 	106.1 	98.0 	105.6 	105.8 	104.8 	101.8 	100.0 	97.9 	96.9 	97.9 	101.0 	98.7 	94.4 	109.6 	112.0 	108.1 	103.9 	102.1 	100.2 	99.8 	99.7 	98.9 	94.2 s	92.6 s	90.0 s	87.4 s	88.2 s	83.9 s	80.6 s	84.7 s	85.4 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PROD,B-D_F,CA,I15,EA20	108.6 	106.1 	98.0 	105.6 	105.8 	104.8 	101.8 	100.0 	97.9 	96.9 	98.0 	101.0 	98.7 	94.5 	109.7 	112.0 	108.2 	104.0 	102.2 	100.2 	99.8 	99.7 	98.8 	94.1 s	92.5 s	90.0 s	87.4 s	88.2 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
