"Statistic Label","Quarter","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Persons aged 15-89 years in Employment","1998Q1","Both sexes","All NACE economic sectors","Thousand","1550.3"
"Persons aged 15-89 years in Employment","1998Q1","Both sexes","Agriculture, forestry and fishing (A)","Thousand","135.6"
"Persons aged 15-89 years in Employment","1998Q1","Both sexes","Construction (F)","Thousand","103.7"
"Persons aged 15-89 years in Employment","1998Q1","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","219.5"
"Persons aged 15-89 years in Employment","1998Q1","Both sexes","Transportation and storage (H)","Thousand","65.6"
"Persons aged 15-89 years in Employment","1998Q1","Both sexes","Accommodation and food service activities (I)","Thousand","99.6"
"Persons aged 15-89 years in Employment","1998Q1","Both sexes","Information and communication (J)","Thousand","60.9"
"Persons aged 15-89 years in Employment","1998Q1","Both sexes","Professional, scientific and technical activities (M)","Thousand","71.4"
"Persons aged 15-89 years in Employment","1998Q1","Both sexes","Administrative and support service activities (N)","Thousand","49"
"Persons aged 15-89 years in Employment","1998Q1","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","67.7"
"Persons aged 15-89 years in Employment","1998Q1","Both sexes","Education (P)","Thousand","93.9"
"Persons aged 15-89 years in Employment","1998Q1","Both sexes","Human health and social work activities (Q)","Thousand","121.7"
"Persons aged 15-89 years in Employment","1998Q1","Both sexes","Industry (B to E)","Thousand","313.2"
"Persons aged 15-89 years in Employment","1998Q1","Both sexes","Industry and Construction (B to F)","Thousand","416.9"
"Persons aged 15-89 years in Employment","1998Q1","Both sexes","Services (G to U)","Thousand","989.8"
"Persons aged 15-89 years in Employment","1998Q1","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","62.6"
"Persons aged 15-89 years in Employment","1998Q1","Both sexes","Other NACE activities (R to U)","Thousand","78.1"
"Persons aged 15-89 years in Employment","1998Q1","Both sexes","Not stated","Thousand","7.9"
"Persons aged 15-89 years in Employment","1998Q1","Male","All NACE economic sectors","Thousand","934.9"
"Persons aged 15-89 years in Employment","1998Q1","Male","Agriculture, forestry and fishing (A)","Thousand","117.5"
"Persons aged 15-89 years in Employment","1998Q1","Male","Construction (F)","Thousand","100.7"
"Persons aged 15-89 years in Employment","1998Q1","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","118.3"
"Persons aged 15-89 years in Employment","1998Q1","Male","Transportation and storage (H)","Thousand","52.9"
"Persons aged 15-89 years in Employment","1998Q1","Male","Accommodation and food service activities (I)","Thousand","45.7"
"Persons aged 15-89 years in Employment","1998Q1","Male","Information and communication (J)","Thousand","38.5"
"Persons aged 15-89 years in Employment","1998Q1","Male","Professional, scientific and technical activities (M)","Thousand","44.2"
"Persons aged 15-89 years in Employment","1998Q1","Male","Administrative and support service activities (N)","Thousand","24.3"
